  - [0x0000000022][0x00000004D8]  /space 
! - [0x0000000023][0x0000000507]  /exclam 
" - [0x0000000024][0x00000005A4]  /quotedbl 
# - [0x0000000025][0x000000051B]  /numbersign 
$ - [0x0000000026][0x00000006B1]  /dollar 
% - [0x0000000027][0x0000000723]  /percent 
& - [0x0000000028][0x00000005CD]  /ampersand 
' - [0x0000000029][0x00000005A5]  /quotesingle 
( - [0x000000002A][0x000000057A]  /parenleft 
) - [0x000000002B][0x000000057B]  /parenright 
* - [0x000000002C][0x0000000515]  /asterisk 
+ - [0x000000002D][0x00000006EE]  /plus 
, - [0x000000002E][0x00000004ED]  /comma 
- - [0x0000000030][0x0000000566]  /hyphen 
. - [0x0000000031][0x00000004E7]  /period 
/ - [0x0000000032][0x0000000527]  /slash 
0 - [0x0000000033][0x0000000470]  /zero 
1 - [0x0000000034][0x0000000471]  /one 
2 - [0x0000000035][0x0000000472]  /two 
3 - [0x0000000036][0x0000000473]  /three 
4 - [0x0000000037][0x0000000474]  /four 
5 - [0x0000000038][0x0000000475]  /five 
6 - [0x0000000039][0x0000000476]  /six 
7 - [0x000000003A][0x0000000477]  /seven 
8 - [0x000000003B][0x0000000478]  /eight 
9 - [0x000000003C][0x0000000479]  /nine 
: - [0x000000003D][0x00000004EE]  /colon 
; - [0x000000003E][0x0000000504]  /semicolon 
< - [0x0000000040][0x0000000706]  /less 
= - [0x0000000041][0x0000000703]  /equal 
> - [0x0000000042][0x0000000705]  /greater 
? - [0x0000000043][0x000000050D]  /question 
@ - [0x0000000044][0x00000005CC]  /at 
A - [0x0000000045][0x0000000001]  /A 
B - [0x0000000046][0x000000000D]  /B 
C - [0x0000000047][0x000000000E]  /C 
D - [0x0000000048][0x0000000015]  /D 
E - [0x0000000049][0x0000000019]  /E 
F - [0x000000004A][0x0000000024]  /F 
G - [0x000000004B][0x0000000025]  /G 
H - [0x000000004C][0x000000002A]  /H 
I - [0x000000004D][0x000000002D]  /I 
J - [0x000000004E][0x0000000039]  /J 
K - [0x0000000050][0x000000003B]  /K 
L - [0x0000000051][0x000000003D]  /L 
M - [0x0000000052][0x0000000044]  /M 
N - [0x0000000053][0x0000000045]  /N 
O - [0x0000000054][0x000000004B]  /O 
P - [0x0000000055][0x0000000058]  /P 
Q - [0x0000000056][0x000000005A]  /Q 
R - [0x0000000057][0x000000005B]  /R 
S - [0x0000000058][0x0000000060]  /S 
T - [0x0000000059][0x0000000067]  /T 
U - [0x000000005A][0x000000006C]  /U 
V - [0x000000005B][0x0000000078]  /V 
W - [0x000000005C][0x0000000079]  /W 
X - [0x000000005D][0x000000007E]  /X 
Y - [0x000000005E][0x0000000080]  /Y 
Z - [0x0000000060][0x0000000085]  /Z 
[ - [0x0000000061][0x000000057E]  /bracketleft 
\ - [0x0000000062][0x000000052D]  /backslash 
] - [0x0000000063][0x0000000580]  /bracketright 
^ - [0x0000000064][0x000000070D]  /asciicircum 
_ - [0x0000000065][0x000000056E]  /underscore 
` - [0x0000000066][0x00000008B1]  /grave 
a - [0x0000000067][0x0000000093]  /a 
b - [0x0000000068][0x00000000A0]  /b 
c - [0x0000000069][0x00000000A1]  /c 
d - [0x000000006A][0x00000000A7]  /d 
e - [0x000000006B][0x00000000AB]  /e 
f - [0x000000006C][0x00000000B6]  /f 
g - [0x000000006D][0x00000000B7]  /g 
h - [0x000000006E][0x00000000BC]  /h 
i - [0x0000000070][0x00000000C0]  /i 
j - [0x0000000071][0x00000000CC]  /j 
k - [0x0000000072][0x00000000D0]  /k 
l - [0x0000000073][0x00000000D3]  /l 
m - [0x0000000074][0x00000000D9]  /m 
n - [0x0000000075][0x00000000DA]  /n 
o - [0x0000000076][0x00000000E2]  /o 
p - [0x0000000077][0x00000000EE]  /p 
q - [0x0000000078][0x0000000101]  /q 
r - [0x0000000079][0x0000000102]  /r 
s - [0x000000007A][0x0000000106]  /s 
t - [0x000000007B][0x000000010D]  /t 
u - [0x000000007C][0x0000000113]  /u 
v - [0x000000007D][0x000000011E]  /v 
w - [0x000000007E][0x0000000120]  /w 
x - [0x0000000080][0x0000000125]  /x 
y - [0x0000000081][0x0000000126]  /y 
z - [0x0000000082][0x000000012B]  /z 
{ - [0x0000000083][0x000000057C]  /braceleft 
| - [0x0000000084][0x00000005D7]  /bar 
} - [0x0000000085][0x000000057D]  /braceright 
~ - [0x0000000086][0x000000070B]  /asciitilde 
  - [0x00000000AA][0x00000004D9]  /uni00A0 
¡ - [0x00000000AB][0x000000050C]  /exclamdown 
¢ - [0x00000000AC][0x00000006AE]  /cent 
£ - [0x00000000AD][0x00000006B7]  /sterling 
¤ - [0x00000000AE][0x00000006B0]  /currency 
¥ - [0x00000000B0][0x00000006B8]  /yen 
¦ - [0x00000000B1][0x00000005E0]  /brokenbar 
§ - [0x00000000B2][0x00000005D1]  /section 
¨ - [0x00000000B3][0x00000008AE]  /dieresis 
© - [0x00000000B4][0x00000005D2]  /copyright 
ª - [0x00000000B5][0x000000019D]  /ordfeminine 
« - [0x00000000B6][0x00000005A0]  /guillemotleft 
¬ - [0x00000000B7][0x000000070C]  /logicalnot 
­ - [0x00000000B8][0x0000000567]  /uni00AD 
® - [0x00000000B9][0x00000005D3]  /registered 
¯ - [0x00000000BA][0x00000008BA]  /macron 
° - [0x00000000BB][0x00000005D5]  /degree 
± - [0x00000000BC][0x0000000709]  /plusminus 
² - [0x00000000BD][0x00000004B5]  /uni00B2 
³ - [0x00000000BE][0x00000004B6]  /uni00B3 
´ - [0x00000000C0][0x00000008B2]  /acute 
µ - [0x00000000C1][0x000000071A]  /uni00B5 
¶ - [0x00000000C2][0x00000005D0]  /paragraph 
· - [0x00000000C3][0x0000000513]  /periodcentered 
¸ - [0x00000000C4][0x00000008BB]  /cedilla 
¹ - [0x00000000C5][0x00000004B4]  /uni00B9 
º - [0x00000000C6][0x000000019E]  /ordmasculine 
» - [0x00000000C7][0x00000005A1]  /guillemotright 
¼ - [0x00000000C8][0x00000004C3]  /onequarter 
½ - [0x00000000C9][0x00000004C0]  /onehalf 
¾ - [0x00000000CA][0x00000004C4]  /threequarters 
¿ - [0x00000000CB][0x0000000512]  /questiondown 
À - [0x00000000CC][0x0000000006]  /Agrave 
Á - [0x00000000CD][0x0000000002]  /Aacute 
Â - [0x00000000CE][0x0000000004]  /Acircumflex 
Ã - [0x00000000D0][0x000000000A]  /Atilde 
Ä - [0x00000000D1][0x0000000005]  /Adieresis 
Å - [0x00000000D2][0x0000000009]  /Aring 
Æ - [0x00000000D3][0x000000000B]  /AE 
Ç - [0x00000000D4][0x0000000012]  /Ccedilla 
È - [0x00000000D5][0x0000000021]  /Egrave 
É - [0x00000000D6][0x000000001A]  /Eacute 
Ê - [0x00000000D7][0x000000001D]  /Ecircumflex 
Ë - [0x00000000D8][0x000000001E]  /Edieresis 
Ì - [0x00000000D9][0x0000000035]  /Igrave 
Í - [0x00000000DA][0x0000000030]  /Iacute 
Î - [0x00000000DB][0x0000000032]  /Icircumflex 
Ï - [0x00000000DC][0x0000000033]  /Idieresis 
Ð - [0x00000000DD][0x0000000016]  /Eth 
Ñ - [0x00000000DE][0x0000000049]  /Ntilde 
Ò - [0x00000000E0][0x0000000051]  /Ograve 
Ó - [0x00000000E1][0x000000004C]  /Oacute 
Ô - [0x00000000E2][0x000000004E]  /Ocircumflex 
Õ - [0x00000000E3][0x0000000056]  /Otilde 
Ö - [0x00000000E4][0x0000000050]  /Odieresis 
× - [0x00000000E5][0x0000000701]  /multiply 
Ø - [0x00000000E6][0x0000000054]  /Oslash 
Ù - [0x00000000E7][0x0000000072]  /Ugrave 
Ú - [0x00000000E8][0x000000006D]  /Uacute 
Û - [0x00000000E9][0x0000000070]  /Ucircumflex 
Ü - [0x00000000EA][0x0000000071]  /Udieresis 
